"","lon","lat","HarvestedStem","modelname","scenario"
"1",-42.9333,-8.1167,19.0046441738836,"GFDL","rcp8p5"
"2",-67,-8.5,19.0046441738836,"GFDL","rcp8p5"
"3",-55.8333,-30.6833,19.0046441738836,"GFDL","rcp8p5"
"4",-47.7333,-23.4833,19.0046441738836,"GFDL","rcp8p5"
"5",-42.9333,-8.1167,19.0046441738836,"GFDL","rcp8p5"
"6",-67,-8.5,19.0046441738836,"GFDL","rcp8p5"
"7",-55.8333,-30.6833,19.0046441738836,"GFDL","rcp8p5"
"8",-47.7333,-23.4833,19.0046441738836,"GFDL","rcp8p5"
"9",-42.9333,-8.1167,19.0046441738836,"GFDL","rcp8p5"
"10",-67,-8.5,19.0046441738836,"GFDL","rcp8p5"
"11",-55.8333,-30.6833,19.0046441738836,"GFDL","rcp8p5"
"12",-47.7333,-23.4833,19.0046441738836,"GFDL","rcp8p5"
"13",-42.9333,-8.1167,19.0046441738836,"GFDL","rcp8p5"
"14",-67,-8.5,19.0046441738836,"GFDL","rcp8p5"
"15",-55.8333,-30.6833,19.0046441738836,"GFDL","rcp8p5"
"16",-47.7333,-23.4833,19.0046441738836,"GFDL","rcp8p5"
"17",-42.9333,-8.1167,19.0046441738836,"GFDL","rcp8p5"
"18",-67,-8.5,19.0046441738836,"GFDL","rcp8p5"
"19",-55.8333,-30.6833,19.0046441738836,"GFDL","rcp8p5"
"20",-47.7333,-23.4833,19.0046441738836,"GFDL","rcp8p5"
